frame_number grid_index player_position_x_meters player_position_y_meters
249 14630 13.2 7
249 15115 13.8 8
250 13496 11.8 4.2
250 13661 12 5.2
250 13986 12.4 6.2
250 14630 13.2 7
250 15115 13.8 8
252 13344 11.6 5.8
252 13496 11.8 4.2
252 13980 12.4 5
252 13986 12.4 6.2
252 14465 13 6
252 14630 13.2 7
252 15115 13.8 8
254 13496 11.8 4.2
254 13661 12 5.2
254 13986 12.4 6.2
254 14630 13.2 7
254 15115 13.8 8
256 13343 11.6 5.6
256 13496 11.8 4.2
256 13821 12.2 5.2
256 13986 12.4 6.2
256 14630 13.2 7
256 15115 13.8 8
259 13343 11.6 5.6
259 13496 11.8 4.2
259 13821 12.2 5.2
259 13984 12.4 5.8
259 13986 12.4 6.2
259 14463 13 5.6
259 14630 13.2 7
259 14946 13.6 6.2
259 15115 13.8 8
260 13496 11.8 4.2
260 13821 12.2 5.2
260 13984 12.4 5.8
260 13986 12.4 6.2
260 14463 13 5.6
260 14630 13.2 7
260 14946 13.6 6.2
260 15115 13.8 8
261 13496 11.8 4.2
261 13984 12.4 5.8
261 13986 12.4 6.2
261 14463 13 5.6
261 14630 13.2 7
261 14946 13.6 6.2
261 15115 13.8 8
262 13496 11.8 4.2
262 13821 12.2 5.2
262 13823 12.2 5.6
262 13986 12.4 6.2
262 14463 13 5.6
262 14630 13.2 7
262 14946 13.6 6.2
262 15115 13.8 8
264 13344 11.6 5.8
264 13496 11.8 4.2
264 13823 12.2 5.6
264 13986 12.4 6.2
264 14463 13 5.6
264 14630 13.2 7
264 15115 13.8 8
266 13496 11.8 4.2
266 13506 11.8 6.2
266 13823 12.2 5.6
266 13986 12.4 6.2
266 14463 13 5.6
266 14630 13.2 7
266 14946 13.6 6.2
266 15115 13.8 8
268 13823 12.2 5.6
268 13986 12.4 6.2
268 14293 12.8 3.6
268 14463 13 5.6
268 14630 13.2 7
268 14946 13.6 6.2
268 15115 13.8 8
269 13034 11.2 7.8
269 13823 12.2 5.6
269 13986 12.4 6.2
269 14293 12.8 3.6
269 14463 13 5.6
269 14630 13.2 7
269 14946 13.6 6.2
269 15115 13.8 8
270 13506 11.8 6.2
270 13823 12.2 5.6
270 13986 12.4 6.2
270 14463 13 5.6
270 14630 13.2 7
270 14946 13.6 6.2
270 15115 13.8 8
272 13344 11.6 5.8
272 13661 12 5.2
272 13986 12.4 6.2
272 14293 12.8 3.6
272 14463 13 5.6
272 14630 13.2 7
272 14946 13.6 6.2
272 15115 13.8 8
273 13339 11.6 4.8
273 13344 11.6 5.8
273 13823 12.2 5.6
273 13986 12.4 6.2
273 14463 13 5.6
273 14630 13.2 7
273 15115 13.8 8
275 13344 11.6 5.8
275 13661 12 5.2
275 13986 12.4 6.2
275 14630 13.2 7
275 14946 13.6 6.2
275 15115 13.8 8
276 13175 11.4 4
276 13341 11.6 5.2
276 13344 11.6 5.8
276 13986 12.4 6.2
276 14630 13.2 7
276 15115 13.8 8
278 13346 11.6 6.2
278 13496 11.8 4.2
278 13661 12 5.2
278 13986 12.4 6.2
278 14463 13 5.6
278 14630 13.2 7
278 15115 13.8 8
279 13020 11.2 5
279 13344 11.6 5.8
279 13496 11.8 4.2
279 13661 12 5.2
279 13823 12.2 5.6
279 13986 12.4 6.2
279 14630 13.2 7
279 15115 13.8 8
281 13175 11.4 4
281 13181 11.4 5.2
281 13344 11.6 5.8
281 13661 12 5.2
281 13986 12.4 6.2
281 14630 13.2 7
281 15115 13.8 8
283 13175 11.4 4
283 13341 11.6 5.2
283 13498 11.8 4.6
283 13661 12 5.2
283 13984 12.4 5.8
283 14463 13 5.6
283 14630 13.2 7
283 15115 13.8 8
284 13175 11.4 4
284 13341 11.6 5.2
284 13498 11.8 4.6
284 13661 12 5.2
284 13984 12.4 5.8
284 14463 13 5.6
284 14630 13.2 7
284 15115 13.8 8
286 13016 11.2 4.2
286 13339 11.6 4.8
286 13984 12.4 5.8
286 14463 13 5.6
286 14630 13.2 7
286 14946 13.6 6.2
286 15115 13.8 8
288 13016 11.2 4.2
288 13339 11.6 4.8
288 13494 11.8 3.8
288 13984 12.4 5.8
288 14463 13 5.6
288 14946 13.6 6.2
288 14952 13.6 7.4
288 15115 13.8 8
290 12854 11 3.8
290 13339 11.6 4.8
290 13984 12.4 5.8
290 14463 13 5.6
290 14630 13.2 7
290 14946 13.6 6.2
293 12856 11 4.2
293 13018 11.2 4.6
293 13984 12.4 5.8
293 14463 13 5.6
293 14630 13.2 7
293 14946 13.6 6.2
294 12699 10.8 4.8
294 12856 11 4.2
294 13339 11.6 4.8
294 13984 12.4 5.8
294 14463 13 5.6
294 14630 13.2 7
294 14946 13.6 6.2
294 15115 13.8 8
296 12535 10.6 4
296 13018 11.2 4.6
296 13498 11.8 4.6
296 13661 12 5.2
296 13984 12.4 5.8
296 14463 13 5.6
296 14630 13.2 7
296 14946 13.6 6.2
299 12856 11 4.2
299 13018 11.2 4.6
299 13661 12 5.2
299 13984 12.4 5.8
299 14463 13 5.6
299 14952 13.6 7.4
301 12535 10.6 4
301 12690 10.8 3
301 12856 11 4.2
301 13661 12 5.2
301 13984 12.4 5.8
301 14463 13 5.6
301 14946 13.6 6.2
301 14952 13.6 7.4
305 12370 10.4 3
305 12535 10.6 4
305 13984 12.4 5.8
305 14463 13 5.6
305 14946 13.6 6.2
305 14952 13.6 7.4
307 12213 10.2 3.6
307 12370 10.4 3
307 12533 10.6 3.6
307 12535 10.6 4
307 13659 12 4.8
307 13984 12.4 5.8
307 14952 13.6 7.4
308 12213 10.2 3.6
308 12370 10.4 3
308 12533 10.6 3.6
308 13659 12 4.8
308 13984 12.4 5.8
308 14467 13 6.4
308 14952 13.6 7.4
309 12213 10.2 3.6
309 12370 10.4 3
309 12533 10.6 3.6
309 13339 11.6 4.8
309 13984 12.4 5.8
309 14952 13.6 7.4
311 12533 10.6 3.6
311 13339 11.6 4.8
311 13984 12.4 5.8
311 14463 13 5.6
311 14952 13.6 7.4
314 12049 10 2.8
314 12533 10.6 3.6
314 13339 11.6 4.8
314 13984 12.4 5.8
314 14463 13 5.6
314 14946 13.6 6.2
314 14952 13.6 7.4
318 1498 -3.2 4.6
318 1502 -3.2 5.4
318 12210 10.2 3
318 12212 10.2 3.4
318 13013 11.2 3.6
318 13984 12.4 5.8
318 14467 13 6.4
318 14946 13.6 6.2
318 14952 13.6 7.4
319 11887 9.8 2.4
319 12210 10.2 3
319 12212 10.2 3.4
319 12533 10.6 3.6
319 13496 11.8 4.2
319 13661 12 5.2
